# file...... output/Gen_1_meter.csv
# date...... Tue Feb 28 22:47:23 2023
# user...... ananth
# host...... (null)
# target.... diesel_dg 1
# trigger... (none)
# interval.. 1
# limit..... 0
# timestamp,power_out_A.real,power_out_A.imag,power_out_A, power_out_B.real,power_out_B.imag,power_out_B, power_out_C.real,power_out_C.imag, power_out_C, pwr_electric.real,pwr_electric.imag,pwr_electric
2001-08-01 13:00:00 PDT,+122781.031164,+182311.311281,+122781.031164+182311.311281i,+35826.7313315,+142246.19851,+35826.7313315+142246.19851j,+19074.0516433,+116472.258707,+19074.0516433+116472.258707j,+177681.814138,+441029.768498,+177681.814138+441029.768498i
2001-08-01 13:00:01 PDT,+122781.096172,+182311.551903,+122781.096172+182311.551903i,+35826.4876429,+142246.04784,+35826.4876429+142246.04784j,+19074.2519892,+116472.16133,+19074.2519892+116472.16133j,+177681.835804,+441029.761073,+177681.835804+441029.761073i
2001-08-01 13:00:02 PDT,+122781.13674,+182311.721013,+122781.13674+182311.721013i,+35826.3166291,+142245.937594,+35826.3166291+142245.937594j,+19074.3968097,+116472.097499,+19074.3968097+116472.097499j,+177681.850179,+441029.756106,+177681.850179+441029.756106i
2001-08-01 13:00:03.000000 PDT,+122781.150406,+182311.842503,+122781.150406+182311.842503i,+35826.2021179,+142245.857392,+35826.2021179+142245.857392j,+19074.5002641,+116472.061331,+19074.5002641+116472.061331j,+177681.852788,+441029.761227,+177681.852788+441029.761227i
2001-08-01 13:00:03.002000 PDT,+176062.942348,+204916.749828,+176062.942348+204916.749828i,+74296.9638024,+148635.549671,+74296.9638024+148635.549671j,+43446.7204434,+130247.01238,+43446.7204434+130247.01238j,+293806.626594,+483799.311879,+293806.626594+483799.311879i
2001-08-01 13:00:03.004000 PDT,+192388.726439,+242141.155446,+192388.726439+242141.155446i,+89759.7084268,+169406.752789,+89759.7084268+169406.752789j,+56429.9023699,+149618.334134,+56429.9023699+149618.334134j,+338578.337235,+561166.242369,+338578.337235+561166.242369i
2001-08-01 13:00:03.006000 PDT,+217110.445751,+257961.881991,+217110.445751+257961.881991i,+105071.145084,+173037.502274,+105071.145084+173037.502274j,+73292.2729834,+156521.394364,+73292.2729834+156521.394364j,+395473.863819,+587520.778629,+395473.863819+587520.778629i
2001-08-01 13:00:03.008000 PDT,+237463.539995,+259924.084198,+237463.539995+259924.084198i,+113442.266527,+167868.149712,+113442.266527+167868.149712j,+87216.572859,+153658.865336,+87216.572859+153658.865336j,+438122.379382,+581451.099246,+438122.379382+581451.099246i
2001-08-01 13:00:03.010000 PDT,+249699.694739,+255914.456596,+249699.694739+255914.456596i,+114610.101099,+160370.18462,+114610.101099+160370.18462j,+95118.0865503,+145504.319366,+95118.0865503+145504.319366j,+459427.882388,+561788.960582,+459427.882388+561788.960582i
2001-08-01 13:00:03.012000 PDT,+255240.578181,+251325.630959,+255240.578181+251325.630959i,+111152.080129,+154605.464409,+111152.080129+154605.464409j,+97236.3859698,+136457.18958,+97236.3859698+136457.18958j,+463629.044279,+542388.284948,+463629.044279+542388.284948i
