# file...... output/Gen_2_Speed.csv
# date...... Tue Feb 28 22:47:23 2023
# user...... ananth
# host...... (null)
# target.... diesel_dg 5
# trigger... (none)
# interval.. 1
# limit..... 0
# timestamp,rotor_speed,rotor_angle,flux1d,flux2q,EpRotated,VintRotated,Eint_A,Eint_B,Eint_C,Irotated,pwr_electric.real,pwr_electric.imag,pwr_mech,torque_mech,torque_elec
2001-08-01 13:00:00 PDT,+376.991118431,+0.885385421236,+0.675836986419,-0.752784738659,+0.684349762417+0.810646768706j,+0.703902612772+0.743241877563j,+0+0i,+0+0i,+0+0i,+1.34809782288+0.977642517739j,+878505.968406,+39900.6318933,+662500,+1757.33582997,+2355.68303287
2001-08-01 13:00:01 PDT,+376.991118431,+0.885385421236,+0.675836986419,-0.752784738659,+0.684349762417+0.810646768706j,+0.703902612772+0.743241877563j,+0+0i,+0+0i,+0+0i,+1.34809782288+0.977642517739j,+878505.979315,+39900.6207069,+662500,+1757.33582997,+2355.68303287
2001-08-01 13:00:02 PDT,+376.991118431,+0.885385421236,+0.675836986419,-0.752784738659,+0.684349762417+0.810646768706j,+0.703902612772+0.743241877563j,+0+0i,+0+0i,+0+0i,+1.34809782288+0.977642517739j,+878505.986573,+39900.6128901,+662500,+1757.33582997,+2355.68303287
2001-08-01 13:00:03.000000 PDT,+376.820540488,+0.885214654341,+0.675837028304,-0.752784678718,+0.684349707926+0.810646832979j,+0.703902556724+0.743241930641j,+2436.46809486+311.09083927j,-948.821477739-2265.5886853j,-1487.64661712+1954.49784603j,+1.34809805282+0.97764243585j,+878505.98223,+39900.620499,+662500,+1758.13133526,+2355.6831431
2001-08-01 13:00:03.002000 PDT,+376.569695532,+0.884627429348,+0.675578789563,-0.752801933557,+0.684357980222+0.810613527044j,+0.703913395461+0.743096158304j,+2436.44886599+309.372938814j,-950.299608737-2264.71308237j,-1486.14925725+1955.34014356j,+1.65159629833+0.977068786804j,+975390.311756,+71624.7649228,+662500,+1759.30248201,+2655.34139174
2001-08-01 13:00:03.004000 PDT,+376.292233936,+0.883515917501,+0.675176779279,-0.752784752572,+0.684349828129+0.810762308503j,+0.703902663684+0.742969543891j,+2436.57858139+306.446108446j,-952.899175889-2263.36200402j,-1483.6794055+1956.91589558j,+1.78921742725+0.95092178136j,+1003611.85479,+141478.51176,+662500,+1760.59971547,+2764.01337248
2001-08-01 13:00:03.006000 PDT,+375.984732046,+0.881818121016,+0.674691811278,-0.752778830427,+0.684346988576+0.811319058583j,+0.703898943391+0.74300543493j,+2437.14321233+302.381004584j,-956.701974572-2261.81843683j,-1480.44123775+1959.43743224j,+1.8639780762+0.977818171222j,+1043246.83426,+161192.349434,+662500,+1762.03963495,+2866.13239502
2001-08-01 13:00:03.008000 PDT,+375.658350397,+0.879482749934,+0.674188420362,-0.752798905435,+0.684356550308+0.81188664589j,+0.703911508916+0.743037533126j,+2437.91506896+296.728664727j,-961.982972795-2259.66071435j,-1475.93209616+1962.93204962j,+1.87895479236+1.01599135724j,+1071749.49418,+151047.456159,+662500,+1763.57054036,+2920.92352447
2001-08-01 13:00:03.010000 PDT,+375.327138908,+0.876486201815,+0.673709207836,-0.752840096968,+0.68437626922+0.812454353303j,+0.703937362862+0.743081780569j,+2438.90889177+289.463911141j,-968.77134536-2256.88901336j,-1470.13754641+1967.42510222j,+1.85706573852+1.04226375906j,+1082163.42271,+130491.335999,+662500,+1765.12682224,+2926.86418775
2001-08-01 13:00:03.012000 PDT,+375.001693194,+0.872830477946,+0.673272884197,-0.752890038002,+0.684400304057+0.813024664547j,+0.70396879947+0.743148774372j,+2440.11189136+280.620701071j,-977.031289726-2253.50923653j,-1463.08060164+1972.88853546j,+1.82123202668+1.04969098969j,+1077637.48759,+112090.458764,+662500,+1766.65868988,+2899.36779843
