# file...... output/Gen_3_meter.csv
# date...... Tue Feb 28 22:47:23 2023
# user...... ananth
# host...... (null)
# target.... diesel_dg 9
# trigger... (none)
# interval.. 1
# limit..... 0
# timestamp,power_out_A.real,power_out_A.imag,power_out_A, power_out_B.real,power_out_B.imag,power_out_B, power_out_C.real,power_out_C.imag, power_out_C, pwr_electric.real,pwr_electric.imag,pwr_electric
2001-08-01 13:00:00 PDT,+219244.785992,+88387.3387498,+219244.785992+88387.3387498i,+122250.833776,+45061.3406589,+122250.833776+45061.3406589j,+108504.461983,+16551.282007,+108504.461983+16551.282007j,+450000.081751,+149999.961416,+450000.081751+149999.961416i
2001-08-01 13:00:01 PDT,+219244.822941,+88387.6492492,+219244.822941+88387.6492492i,+122250.611914,+45061.1724057,+122250.611914+45061.1724057j,+108504.664797,+16551.1302651,+108504.664797+16551.1302651j,+450000.099652,+149999.95192,+450000.099652+149999.95192i
2001-08-01 13:00:02 PDT,+219244.843942,+88387.8681079,+219244.843942+88387.8681079i,+122250.456575,+45061.0483065,+122250.456575+45061.0483065j,+108504.810955,+16551.0289715,+108504.810955+16551.0289715j,+450000.111472,+149999.945386,+450000.111472+149999.945386i
2001-08-01 13:00:03.000000 PDT,+219244.843568,+88388.0246882,+219244.843568+88388.0246882i,+122250.351908,+45060.9575453,+122250.351908+45060.9575453j,+108504.915375,+16550.9696829,+108504.915375+16550.9696829j,+450000.110851,+149999.951916,+450000.110851+149999.951916i
2001-08-01 13:00:03.002000 PDT,+219244.774082,+88388.0511551,+219244.774082+88388.0511551i,+122250.387478,+45060.9025872,+122250.387478+45060.9025872j,+108504.947165,+16551.0215587,+108504.947165+16551.0215587j,+450000.108726,+149999.975301,+450000.108726+149999.975301i
2001-08-01 13:00:03.004000 PDT,+0,+0,+0+0j,+0,-0,+0-0j,+0,+0,+0+0j,+0,+0,+0+0j
2001-08-01 13:00:03.006000 PDT,+0,+0,+0+0j,+0,-0,+0-0j,+0,+0,+0+0j,+0,+0,+0+0j
2001-08-01 13:00:03.008000 PDT,+0,+0,+0+0j,+0,-0,+0-0j,+0,+0,+0+0j,+0,+0,+0+0j
2001-08-01 13:00:03.010000 PDT,+0,+0,+0+0j,+0,-0,+0-0j,+0,+0,+0+0j,+0,+0,+0+0j
2001-08-01 13:00:03.012000 PDT,+0,+0,+0+0j,+0,-0,+0-0j,+0,+0,+0+0j,+0,+0,+0+0j
2001-08-01 13:00:03.014000 PDT,+0,+0,+0+0j,+0,-0,+0-0j,+0,+0,+0+0j,+0,+0,+0+0j
2001-08-01 13:00:03.016000 PDT,+0,+0,+0+0j,+0,-0,+0-0j,+0,+0,+0+0j,+0,+0,+0+0j
2001-08-01 13:00:03.018000 PDT,+0,+0,+0+0j,+0,-0,+0-0j,+0,+0,+0+0j,+0,+0,+0+0j
2001-08-01 13:00:03.020000 PDT,+0,+0,+0+0j,+0,-0,+0-0j,+0,+0,+0+0j,+0,+0,+0+0j
2001-08-01 13:00:03.022000 PDT,+0,+0,+0+0j,+0,-0,+0-0j,+0,+0,+0+0j,+0,+0,+0+0j
2001-08-01 13:00:03.024000 PDT,+0,+0,+0+0j,+0,-0,+0-0j,+0,+0,+0+0j,+0,+0,+0+0j
2001-08-01 13:00:03.026000 PDT,+0,+0,+0+0j,+0,-0,+0-0j,+0,+0,+0+0j,+0,+0,+0+0j
2001-08-01 13:00:03.028000 PDT,+0,+0,+0+0j,+0,-0,+0-0j,+0,+0,+0+0j,+0,+0,+0+0j
2001-08-01 13:00:03.030000 PDT,+0,+0,+0+0j,+0,-0,+0-0j,+0,+0,+0+0j,+0,+0,+0+0j
2001-08-01 13:00:03.032000 PDT,+0,+0,+0+0j,+0,-0,+0-0j,+0,+0,+0+0j,+0,+0,+0+0j
2001-08-01 13:00:03.034000 PDT,+0,+0,+0+0j,+0,-0,+0-0j,+0,+0,+0+0j,+0,+0,+0+0j
